metric,target,spearman_rho,p_value,n
explanatory_risk_averse,explanatory_mean_return,0.27906560048523876,1.2238356577315245e-09,458
explanatory_risk_averse,holding_1y_mean_return,0.04790640516380651,0.30629477706190894,458
explanatory_risk_averse,holding_2y_mean_return,-0.03631590711638443,0.4381468735959168,458
predictive_risk_averse,explanatory_mean_return,0.24433245280122431,1.1893977456861109e-07,458
predictive_risk_averse,holding_1y_mean_return,-0.0018339474699737548,0.9687779970445608,458
predictive_risk_averse,holding_2y_mean_return,-0.04978250875645121,0.28771841476173765,458
explanatory_prospect_theory,explanatory_mean_return,0.6579213634052004,3.92739505607646e-58,458
explanatory_prospect_theory,holding_1y_mean_return,0.07642605263369907,0.1023619449187762,458
explanatory_prospect_theory,holding_2y_mean_return,-0.031994623501794814,0.4945950847715982,458
predictive_prospect_theory,explanatory_mean_return,0.6055035036734221,3.6786199001476094e-47,458
predictive_prospect_theory,holding_1y_mean_return,0.02659239444840712,0.5702744788693219,458
predictive_prospect_theory,holding_2y_mean_return,-0.04284130018475623,0.3603184554627038,458
explanatory_risk_neutral,explanatory_mean_return,0.5826968539478958,5.377917955188793e-43,458
explanatory_risk_neutral,holding_1y_mean_return,0.07565687514212076,0.10587364046991973,458
explanatory_risk_neutral,holding_2y_mean_return,0.060185890389459484,0.19855468032419293,458
predictive_risk_neutral,explanatory_mean_return,0.5558291019515536,1.7136272033575798e-38,458
predictive_risk_neutral,holding_1y_mean_return,0.05639521183888816,0.2283689769414534,458
predictive_risk_neutral,holding_2y_mean_return,0.05413451950045431,0.24759471081788595,458
explanatory_risk_seeking,explanatory_mean_return,0.47396341060894115,5.0103333542373135e-27,458
explanatory_risk_seeking,holding_1y_mean_return,0.09343826523121009,0.04565425635324964,458
explanatory_risk_seeking,holding_2y_mean_return,0.09330611359332604,0.04596256803041584,458
predictive_risk_seeking,explanatory_mean_return,0.46429723026779623,7.246910404601593e-26,458
predictive_risk_seeking,holding_1y_mean_return,0.08686390860702492,0.06325413874968724,458
predictive_risk_seeking,holding_2y_mean_return,0.08943824249813061,0.055790818599035896,458
sharpe,holding_1y_mean_return,0.2017194202140419,1.3614794030336486e-05,458
sharpe,holding_2y_mean_return,-0.04924928064480006,0.2929194308645175,458
