n,death_rate,mean_fwd_drawdown,spearman_es5_drawdown,spearman_vol_drawdown,es5_quintile_drawdown_spread,formation_date
100,0.0,0.6012978749703332,0.4519125469943742,0.485660022984553,0.28137459650583074,2015-06-30
100,0.0,0.4975018734966507,0.5777257725772575,0.48792079207920785,0.28152067564644145,2015-09-30
99,0.0,0.503873773876238,0.6034774380902014,0.5700697899526015,0.37592064903274625,2015-12-31
100,0.0,0.5439093343280665,0.635967596759676,0.6350555055505551,0.37849813773844965,2016-03-31
99,0.020202020202020204,0.5240303233536553,0.6564254792826222,0.62726035868893,0.4020579748245766,2016-06-30
99,0.0,0.5241779832386221,0.581273964131107,0.5839826839826839,0.4019927751010647,2016-09-30
97,0.0,0.4274275146741415,0.5557016621081422,0.5180412371134021,0.31837067430383786,2016-12-31
99,0.0,0.4240032199081283,0.2688682745825603,0.23813234384662954,0.07787862550854663,2017-03-31
90,0.0,0.5986141563488669,0.3682182985553772,0.31731489484298475,0.1922157853116333,2017-06-30
96,0.010416666666666666,0.41981263646906414,0.3859196961475855,0.3330303852414541,0.1201303769923675,2017-09-30
98,0.0,0.7949765272209017,0.23039356323597854,0.431287416559876,0.10208049955719645,2017-12-31
98,0.0,0.657009018068185,0.41719743192497233,0.3977647291343903,0.16149939340300135,2018-03-31
100,0.0,0.6164854917351116,0.2597779777977797,0.5052025202520252,0.116262990225109,2018-06-30
