trailing,forward,q,n_dates,es5bv_naive,es5bv_naive_t,es5bv_death,es5bv_death_t,es5bv_diff,es5bv_diff_t,var5bv_death,var5bv_death_t,meandd_naive,meandd_naive_t,meandd_death,meandd_death_t,meandd_diff,meandd_diff_t,es5bv_diff_ci95
120,90,0.05,32,0.0871,2.3,0.1013,5.26,0.0142,0.43,0.1641,7.28,0.4942,13.02,0.557,20.84,0.0628,4.47,"[np.float64(-0.0513), np.float64(0.0859)]"
120,90,0.1,32,0.1398,3.85,0.1466,8.01,0.0068,0.22,0.1728,9.09,0.4942,13.02,0.557,20.84,0.0628,4.47,"[np.float64(-0.0532), np.float64(0.079)]"
120,180,0.05,32,0.1178,3.41,0.1033,3.85,-0.0145,-0.36,0.1568,8.33,0.6497,9.4,0.7169,13.97,0.0672,3.3,"[np.float64(-0.0717), np.float64(0.0759)]"
120,180,0.1,32,0.1767,7.89,0.1435,6.23,-0.0333,-1.12,0.1714,7.5,0.6497,9.4,0.7169,13.97,0.0672,3.3,"[np.float64(-0.0752), np.float64(0.0403)]"
180,90,0.05,32,0.0806,3.03,0.097,6.17,0.0163,0.51,0.1598,8.5,0.4942,13.02,0.5571,20.86,0.0629,4.45,"[np.float64(-0.047), np.float64(0.0739)]"
180,90,0.1,32,0.1432,5.92,0.1359,9.74,-0.0073,-0.27,0.1744,6.36,0.4942,13.02,0.5571,20.86,0.0629,4.45,"[np.float64(-0.0698), np.float64(0.0438)]"
180,180,0.05,32,0.0982,2.29,0.1061,3.4,0.0079,0.21,0.1536,12.2,0.6497,9.4,0.717,13.99,0.0673,3.29,"[np.float64(-0.0487), np.float64(0.097)]"
180,180,0.1,32,0.1735,6.03,0.138,5.54,-0.0356,-1.76,0.1734,5.12,0.6497,9.4,0.717,13.99,0.0673,3.29,"[np.float64(-0.0719), np.float64(0.0245)]"
252,90,0.05,32,0.0789,3.0,0.0969,3.69,0.0179,0.48,0.1734,8.43,0.4942,13.02,0.5571,20.86,0.0629,4.45,"[np.float64(-0.0495), np.float64(0.0787)]"
252,90,0.1,32,0.1436,6.7,0.142,6.43,-0.0015,-0.06,0.1922,5.08,0.4942,13.02,0.5571,20.86,0.0629,4.45,"[np.float64(-0.0499), np.float64(0.0479)]"
252,180,0.05,32,0.1102,3.01,0.1137,2.86,0.0035,0.11,0.1734,6.98,0.6497,9.4,0.717,13.99,0.0673,3.29,"[np.float64(-0.0518), np.float64(0.0722)]"
252,180,0.1,32,0.1804,3.5,0.1537,4.21,-0.0266,-0.85,0.1886,4.02,0.6497,9.4,0.717,13.99,0.0673,3.29,"[np.float64(-0.0834), np.float64(0.0417)]"
